route,days,direction,stops,trips
141,f,stamsu,"[{'name': 'West Diamond Ave Park & Ride Lot', 'stop_id': 'wdiapknr_d'}, {'name': 'Stamp Student Union - Slip (Arrival)', 'stop_id': 'stamsu_a'}]","[[{'stop_id': 'wdiapknr_d', 'arrival_time': '06:45:00', 'arrival_time_secs': '24300000'}, {'stop_id': 'stamsu_a', 'arrival_time': '07:30:00', 'arrival_time_secs': '27000000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '06:45:00', 'arrival_time_secs': '24300000'}, {'stop_id': 'stamsu_a', 'arrival_time': '07:30:00', 'arrival_time_secs': '27000000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '06:45:00', 'arrival_time_secs': '24300000'}, {'stop_id': 'stamsu_a', 'arrival_time': '07:30:00', 'arrival_time_secs': '27000000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '08:20:00', 'arrival_time_secs': '30000000'}, {'stop_id': 'stamsu_a', 'arrival_time': '09:15:00', 'arrival_time_secs': '33300000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '08:20:00', 'arrival_time_secs': '30000000'}, {'stop_id': 'stamsu_a', 'arrival_time': '09:15:00', 'arrival_time_secs': '33300000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '08:20:00', 'arrival_time_secs': '30000000'}, {'stop_id': 'stamsu_a', 'arrival_time': '09:15:00', 'arrival_time_secs': '33300000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '10:05:00', 'arrival_time_secs': '36300000'}, {'stop_id': 'stamsu_a', 'arrival_time': '10:50:00', 'arrival_time_secs': '39000000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '10:05:00', 'arrival_time_secs': '36300000'}, {'stop_id': 'stamsu_a', 'arrival_time': '10:50:00', 'arrival_time_secs': '39000000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '12:05:00', 'arrival_time_secs': '43500000'}, {'stop_id': 'stamsu_a', 'arrival_time': '12:50:00', 'arrival_time_secs': '46200000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '14:00:00', 'arrival_time_secs': '50400000'}, {'stop_id': 'stamsu_a', 'arrival_time': '14:50:00', 'arrival_time_secs': '53400000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '16:00:00', 'arrival_time_secs': '57600000'}, {'stop_id': 'stamsu_a', 'arrival_time': '16:55:00', 'arrival_time_secs': '60900000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '16:00:00', 'arrival_time_secs': '57600000'}, {'stop_id': 'stamsu_a', 'arrival_time': '16:55:00', 'arrival_time_secs': '60900000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '18:05:00', 'arrival_time_secs': '65100000'}, {'stop_id': 'stamsu_a', 'arrival_time': '19:05:00', 'arrival_time_secs': '68700000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '18:05:00', 'arrival_time_secs': '65100000'}, {'stop_id': 'stamsu_a', 'arrival_time': '19:05:00', 'arrival_time_secs': '68700000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '21:25:00', 'arrival_time_secs': '77100000'}, {'stop_id': 'stamsu_a', 'arrival_time': '22:10:00', 'arrival_time_secs': '79800000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '21:25:00', 'arrival_time_secs': '77100000'}, {'stop_id': 'stamsu_a', 'arrival_time': '22:10:00', 'arrival_time_secs': '79800000'}]]"
141,f,stamsu,"[{'name': 'West Diamond Ave Park & Ride Lot', 'stop_id': 'wdiapknr_d'}, {'name': 'Stamp Student Union - Slip (Arrival)', 'stop_id': 'stamsu_a'}]","[[{'stop_id': 'wdiapknr_d', 'arrival_time': '06:45:00', 'arrival_time_secs': '24300000'}, {'stop_id': 'stamsu_a', 'arrival_time': '07:30:00', 'arrival_time_secs': '27000000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '06:45:00', 'arrival_time_secs': '24300000'}, {'stop_id': 'stamsu_a', 'arrival_time': '07:30:00', 'arrival_time_secs': '27000000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '06:45:00', 'arrival_time_secs': '24300000'}, {'stop_id': 'stamsu_a', 'arrival_time': '07:30:00', 'arrival_time_secs': '27000000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '08:20:00', 'arrival_time_secs': '30000000'}, {'stop_id': 'stamsu_a', 'arrival_time': '09:15:00', 'arrival_time_secs': '33300000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '08:20:00', 'arrival_time_secs': '30000000'}, {'stop_id': 'stamsu_a', 'arrival_time': '09:15:00', 'arrival_time_secs': '33300000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '08:20:00', 'arrival_time_secs': '30000000'}, {'stop_id': 'stamsu_a', 'arrival_time': '09:15:00', 'arrival_time_secs': '33300000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '10:05:00', 'arrival_time_secs': '36300000'}, {'stop_id': 'stamsu_a', 'arrival_time': '10:50:00', 'arrival_time_secs': '39000000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '10:05:00', 'arrival_time_secs': '36300000'}, {'stop_id': 'stamsu_a', 'arrival_time': '10:50:00', 'arrival_time_secs': '39000000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '12:05:00', 'arrival_time_secs': '43500000'}, {'stop_id': 'stamsu_a', 'arrival_time': '12:50:00', 'arrival_time_secs': '46200000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '14:00:00', 'arrival_time_secs': '50400000'}, {'stop_id': 'stamsu_a', 'arrival_time': '14:50:00', 'arrival_time_secs': '53400000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '16:00:00', 'arrival_time_secs': '57600000'}, {'stop_id': 'stamsu_a', 'arrival_time': '16:55:00', 'arrival_time_secs': '60900000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '16:00:00', 'arrival_time_secs': '57600000'}, {'stop_id': 'stamsu_a', 'arrival_time': '16:55:00', 'arrival_time_secs': '60900000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '18:05:00', 'arrival_time_secs': '65100000'}, {'stop_id': 'stamsu_a', 'arrival_time': '19:05:00', 'arrival_time_secs': '68700000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '18:05:00', 'arrival_time_secs': '65100000'}, {'stop_id': 'stamsu_a', 'arrival_time': '19:05:00', 'arrival_time_secs': '68700000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '21:25:00', 'arrival_time_secs': '77100000'}, {'stop_id': 'stamsu_a', 'arrival_time': '22:10:00', 'arrival_time_secs': '79800000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '21:25:00', 'arrival_time_secs': '77100000'}, {'stop_id': 'stamsu_a', 'arrival_time': '22:10:00', 'arrival_time_secs': '79800000'}]]"
141,f,wdiapknr,"[{'name': 'Stamp Student Union - Slip', 'stop_id': 'stamsu_d'}]","[[{'stop_id': 'stamsu_d', 'arrival_time': '06:00:00', 'arrival_time_secs': '21600000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '06:00:00', 'arrival_time_secs': '21600000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '06:00:00', 'arrival_time_secs': '21600000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '07:30:00', 'arrival_time_secs': '27000000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '07:30:00', 'arrival_time_secs': '27000000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '07:30:00', 'arrival_time_secs': '27000000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '09:15:00', 'arrival_time_secs': '33300000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '09:15:00', 'arrival_time_secs': '33300000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '11:15:00', 'arrival_time_secs': '40500000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '13:10:00', 'arrival_time_secs': '47400000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '15:10:00', 'arrival_time_secs': '54600000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '15:10:00', 'arrival_time_secs': '54600000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '17:10:00', 'arrival_time_secs': '61800000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '17:10:00', 'arrival_time_secs': '61800000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '20:35:00', 'arrival_time_secs': '74100000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '20:35:00', 'arrival_time_secs': '74100000'}]]"
141,mtw,stamsu,"[{'name': 'West Diamond Ave Park & Ride Lot', 'stop_id': 'wdiapknr_d'}, {'name': 'Stamp Student Union - Slip (Arrival)', 'stop_id': 'stamsu_a'}]","[[{'stop_id': 'wdiapknr_d', 'arrival_time': '06:45:00', 'arrival_time_secs': '24300000'}, {'stop_id': 'stamsu_a', 'arrival_time': '07:30:00', 'arrival_time_secs': '27000000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '06:45:00', 'arrival_time_secs': '24300000'}, {'stop_id': 'stamsu_a', 'arrival_time': '07:30:00', 'arrival_time_secs': '27000000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '06:45:00', 'arrival_time_secs': '24300000'}, {'stop_id': 'stamsu_a', 'arrival_time': '07:30:00', 'arrival_time_secs': '27000000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '08:20:00', 'arrival_time_secs': '30000000'}, {'stop_id': 'stamsu_a', 'arrival_time': '09:15:00', 'arrival_time_secs': '33300000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '08:20:00', 'arrival_time_secs': '30000000'}, {'stop_id': 'stamsu_a', 'arrival_time': '09:15:00', 'arrival_time_secs': '33300000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '08:20:00', 'arrival_time_secs': '30000000'}, {'stop_id': 'stamsu_a', 'arrival_time': '09:15:00', 'arrival_time_secs': '33300000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '10:05:00', 'arrival_time_secs': '36300000'}, {'stop_id': 'stamsu_a', 'arrival_time': '10:50:00', 'arrival_time_secs': '39000000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '10:05:00', 'arrival_time_secs': '36300000'}, {'stop_id': 'stamsu_a', 'arrival_time': '10:50:00', 'arrival_time_secs': '39000000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '12:05:00', 'arrival_time_secs': '43500000'}, {'stop_id': 'stamsu_a', 'arrival_time': '12:50:00', 'arrival_time_secs': '46200000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '14:00:00', 'arrival_time_secs': '50400000'}, {'stop_id': 'stamsu_a', 'arrival_time': '14:50:00', 'arrival_time_secs': '53400000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '16:00:00', 'arrival_time_secs': '57600000'}, {'stop_id': 'stamsu_a', 'arrival_time': '16:55:00', 'arrival_time_secs': '60900000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '16:00:00', 'arrival_time_secs': '57600000'}, {'stop_id': 'stamsu_a', 'arrival_time': '16:55:00', 'arrival_time_secs': '60900000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '18:05:00', 'arrival_time_secs': '65100000'}, {'stop_id': 'stamsu_a', 'arrival_time': '19:05:00', 'arrival_time_secs': '68700000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '18:05:00', 'arrival_time_secs': '65100000'}, {'stop_id': 'stamsu_a', 'arrival_time': '19:05:00', 'arrival_time_secs': '68700000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '21:25:00', 'arrival_time_secs': '77100000'}, {'stop_id': 'stamsu_a', 'arrival_time': '22:10:00', 'arrival_time_secs': '79800000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '21:25:00', 'arrival_time_secs': '77100000'}, {'stop_id': 'stamsu_a', 'arrival_time': '22:10:00', 'arrival_time_secs': '79800000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '22:55:00', 'arrival_time_secs': '82500000'}, {'stop_id': 'stamsu_a', 'arrival_time': '23:40:00', 'arrival_time_secs': '85200000'}]]"
141,mtw,wdiapknr,"[{'name': 'Stamp Student Union - Slip', 'stop_id': 'stamsu_d'}]","[[{'stop_id': 'stamsu_d', 'arrival_time': '06:00:00', 'arrival_time_secs': '21600000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '06:00:00', 'arrival_time_secs': '21600000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '06:00:00', 'arrival_time_secs': '21600000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '07:30:00', 'arrival_time_secs': '27000000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '07:30:00', 'arrival_time_secs': '27000000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '07:30:00', 'arrival_time_secs': '27000000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '09:15:00', 'arrival_time_secs': '33300000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '09:15:00', 'arrival_time_secs': '33300000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '11:15:00', 'arrival_time_secs': '40500000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '13:10:00', 'arrival_time_secs': '47400000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '15:10:00', 'arrival_time_secs': '54600000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '15:10:00', 'arrival_time_secs': '54600000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '17:10:00', 'arrival_time_secs': '61800000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '17:10:00', 'arrival_time_secs': '61800000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '20:35:00', 'arrival_time_secs': '74100000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '20:35:00', 'arrival_time_secs': '74100000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '22:10:00', 'arrival_time_secs': '79800000'}]]"
141,th,stamsu,"[{'name': 'West Diamond Ave Park & Ride Lot', 'stop_id': 'wdiapknr_d'}, {'name': 'Stamp Student Union - Slip (Arrival)', 'stop_id': 'stamsu_a'}]","[[{'stop_id': 'wdiapknr_d', 'arrival_time': '06:45:00', 'arrival_time_secs': '24300000'}, {'stop_id': 'stamsu_a', 'arrival_time': '07:30:00', 'arrival_time_secs': '27000000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '06:45:00', 'arrival_time_secs': '24300000'}, {'stop_id': 'stamsu_a', 'arrival_time': '07:30:00', 'arrival_time_secs': '27000000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '06:45:00', 'arrival_time_secs': '24300000'}, {'stop_id': 'stamsu_a', 'arrival_time': '07:30:00', 'arrival_time_secs': '27000000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '08:20:00', 'arrival_time_secs': '30000000'}, {'stop_id': 'stamsu_a', 'arrival_time': '09:15:00', 'arrival_time_secs': '33300000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '08:20:00', 'arrival_time_secs': '30000000'}, {'stop_id': 'stamsu_a', 'arrival_time': '09:15:00', 'arrival_time_secs': '33300000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '08:20:00', 'arrival_time_secs': '30000000'}, {'stop_id': 'stamsu_a', 'arrival_time': '09:15:00', 'arrival_time_secs': '33300000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '10:05:00', 'arrival_time_secs': '36300000'}, {'stop_id': 'stamsu_a', 'arrival_time': '10:50:00', 'arrival_time_secs': '39000000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '10:05:00', 'arrival_time_secs': '36300000'}, {'stop_id': 'stamsu_a', 'arrival_time': '10:50:00', 'arrival_time_secs': '39000000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '12:05:00', 'arrival_time_secs': '43500000'}, {'stop_id': 'stamsu_a', 'arrival_time': '12:50:00', 'arrival_time_secs': '46200000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '14:00:00', 'arrival_time_secs': '50400000'}, {'stop_id': 'stamsu_a', 'arrival_time': '14:50:00', 'arrival_time_secs': '53400000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '16:00:00', 'arrival_time_secs': '57600000'}, {'stop_id': 'stamsu_a', 'arrival_time': '16:55:00', 'arrival_time_secs': '60900000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '16:00:00', 'arrival_time_secs': '57600000'}, {'stop_id': 'stamsu_a', 'arrival_time': '16:55:00', 'arrival_time_secs': '60900000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '18:05:00', 'arrival_time_secs': '65100000'}, {'stop_id': 'stamsu_a', 'arrival_time': '19:05:00', 'arrival_time_secs': '68700000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '18:05:00', 'arrival_time_secs': '65100000'}, {'stop_id': 'stamsu_a', 'arrival_time': '19:05:00', 'arrival_time_secs': '68700000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '21:25:00', 'arrival_time_secs': '77100000'}, {'stop_id': 'stamsu_a', 'arrival_time': '22:10:00', 'arrival_time_secs': '79800000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '21:25:00', 'arrival_time_secs': '77100000'}, {'stop_id': 'stamsu_a', 'arrival_time': '22:10:00', 'arrival_time_secs': '79800000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '22:55:00', 'arrival_time_secs': '82500000'}, {'stop_id': 'stamsu_a', 'arrival_time': '23:40:00', 'arrival_time_secs': '85200000'}]]"
141,th,wdiapknr,"[{'name': 'Stamp Student Union - Slip', 'stop_id': 'stamsu_d'}]","[[{'stop_id': 'stamsu_d', 'arrival_time': '06:00:00', 'arrival_time_secs': '21600000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '06:00:00', 'arrival_time_secs': '21600000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '06:00:00', 'arrival_time_secs': '21600000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '07:30:00', 'arrival_time_secs': '27000000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '07:30:00', 'arrival_time_secs': '27000000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '07:30:00', 'arrival_time_secs': '27000000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '09:15:00', 'arrival_time_secs': '33300000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '09:15:00', 'arrival_time_secs': '33300000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '11:15:00', 'arrival_time_secs': '40500000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '13:10:00', 'arrival_time_secs': '47400000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '15:10:00', 'arrival_time_secs': '54600000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '15:10:00', 'arrival_time_secs': '54600000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '17:10:00', 'arrival_time_secs': '61800000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '17:10:00', 'arrival_time_secs': '61800000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '20:35:00', 'arrival_time_secs': '74100000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '20:35:00', 'arrival_time_secs': '74100000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '22:10:00', 'arrival_time_secs': '79800000'}]]"
141,f,wdiapknr,"[{'name': 'Stamp Student Union - Slip', 'stop_id': 'stamsu_d'}]","[[{'stop_id': 'stamsu_d', 'arrival_time': '06:00:00', 'arrival_time_secs': '21600000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '06:00:00', 'arrival_time_secs': '21600000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '06:00:00', 'arrival_time_secs': '21600000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '07:30:00', 'arrival_time_secs': '27000000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '07:30:00', 'arrival_time_secs': '27000000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '07:30:00', 'arrival_time_secs': '27000000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '09:15:00', 'arrival_time_secs': '33300000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '09:15:00', 'arrival_time_secs': '33300000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '11:15:00', 'arrival_time_secs': '40500000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '13:10:00', 'arrival_time_secs': '47400000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '15:10:00', 'arrival_time_secs': '54600000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '15:10:00', 'arrival_time_secs': '54600000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '17:10:00', 'arrival_time_secs': '61800000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '17:10:00', 'arrival_time_secs': '61800000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '20:35:00', 'arrival_time_secs': '74100000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '20:35:00', 'arrival_time_secs': '74100000'}]]"
141,mtw,stamsu,"[{'name': 'West Diamond Ave Park & Ride Lot', 'stop_id': 'wdiapknr_d'}, {'name': 'Stamp Student Union - Slip (Arrival)', 'stop_id': 'stamsu_a'}]","[[{'stop_id': 'wdiapknr_d', 'arrival_time': '06:45:00', 'arrival_time_secs': '24300000'}, {'stop_id': 'stamsu_a', 'arrival_time': '07:30:00', 'arrival_time_secs': '27000000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '06:45:00', 'arrival_time_secs': '24300000'}, {'stop_id': 'stamsu_a', 'arrival_time': '07:30:00', 'arrival_time_secs': '27000000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '06:45:00', 'arrival_time_secs': '24300000'}, {'stop_id': 'stamsu_a', 'arrival_time': '07:30:00', 'arrival_time_secs': '27000000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '08:20:00', 'arrival_time_secs': '30000000'}, {'stop_id': 'stamsu_a', 'arrival_time': '09:15:00', 'arrival_time_secs': '33300000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '08:20:00', 'arrival_time_secs': '30000000'}, {'stop_id': 'stamsu_a', 'arrival_time': '09:15:00', 'arrival_time_secs': '33300000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '08:20:00', 'arrival_time_secs': '30000000'}, {'stop_id': 'stamsu_a', 'arrival_time': '09:15:00', 'arrival_time_secs': '33300000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '10:05:00', 'arrival_time_secs': '36300000'}, {'stop_id': 'stamsu_a', 'arrival_time': '10:50:00', 'arrival_time_secs': '39000000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '10:05:00', 'arrival_time_secs': '36300000'}, {'stop_id': 'stamsu_a', 'arrival_time': '10:50:00', 'arrival_time_secs': '39000000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '12:05:00', 'arrival_time_secs': '43500000'}, {'stop_id': 'stamsu_a', 'arrival_time': '12:50:00', 'arrival_time_secs': '46200000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '14:00:00', 'arrival_time_secs': '50400000'}, {'stop_id': 'stamsu_a', 'arrival_time': '14:50:00', 'arrival_time_secs': '53400000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '16:00:00', 'arrival_time_secs': '57600000'}, {'stop_id': 'stamsu_a', 'arrival_time': '16:55:00', 'arrival_time_secs': '60900000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '16:00:00', 'arrival_time_secs': '57600000'}, {'stop_id': 'stamsu_a', 'arrival_time': '16:55:00', 'arrival_time_secs': '60900000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '18:05:00', 'arrival_time_secs': '65100000'}, {'stop_id': 'stamsu_a', 'arrival_time': '19:05:00', 'arrival_time_secs': '68700000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '18:05:00', 'arrival_time_secs': '65100000'}, {'stop_id': 'stamsu_a', 'arrival_time': '19:05:00', 'arrival_time_secs': '68700000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '21:25:00', 'arrival_time_secs': '77100000'}, {'stop_id': 'stamsu_a', 'arrival_time': '22:10:00', 'arrival_time_secs': '79800000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '21:25:00', 'arrival_time_secs': '77100000'}, {'stop_id': 'stamsu_a', 'arrival_time': '22:10:00', 'arrival_time_secs': '79800000'}], [{'stop_id': 'wdiapknr_d', 'arrival_time': '22:55:00', 'arrival_time_secs': '82500000'}, {'stop_id': 'stamsu_a', 'arrival_time': '23:40:00', 'arrival_time_secs': '85200000'}]]"
141,mtw,wdiapknr,"[{'name': 'Stamp Student Union - Slip', 'stop_id': 'stamsu_d'}]","[[{'stop_id': 'stamsu_d', 'arrival_time': '06:00:00', 'arrival_time_secs': '21600000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '06:00:00', 'arrival_time_secs': '21600000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '06:00:00', 'arrival_time_secs': '21600000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '07:30:00', 'arrival_time_secs': '27000000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '07:30:00', 'arrival_time_secs': '27000000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '07:30:00', 'arrival_time_secs': '27000000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '09:15:00', 'arrival_time_secs': '33300000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '09:15:00', 'arrival_time_secs': '33300000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '11:15:00', 'arrival_time_secs': '40500000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '13:10:00', 'arrival_time_secs': '47400000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '15:10:00', 'arrival_time_secs': '54600000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '15:10:00', 'arrival_time_secs': '54600000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '17:10:00', 'arrival_time_secs': '61800000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '17:10:00', 'arrival_time_secs': '61800000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '20:35:00', 'arrival_time_secs': '74100000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '20:35:00', 'arrival_time_secs': '74100000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '22:10:00', 'arrival_time_secs': '79800000'}]]"
