route,days,direction,stops,trips
140,mtw,balt,"[{'name': 'Stamp Student Union - Slip', 'stop_id': 'stamsuhh_d'}, {'name': 'Baltimore St & Paca St', 'stop_id': 'baltpaca'}]","[[{'stop_id': 'stamsuhh_d', 'arrival_time': '15:00:00', 'arrival_time_secs': '54000000'}, {'stop_id': 'baltpaca', 'arrival_time': '16:30:00', 'arrival_time_secs': '59400000'}], [{'stop_id': 'stamsuhh_d', 'arrival_time': '21:10:00', 'arrival_time_secs': '76200000'}, {'stop_id': 'baltpaca', 'arrival_time': '22:25:00', 'arrival_time_secs': '80700000'}]]"
140,mtw,stamsu,"[{'name': 'Stamp Student Union - Slip (Arrival)', 'stop_id': 'stamsuhh_a'}]","[[{'stop_id': 'stamsuhh_a', 'arrival_time': '17:45:00', 'arrival_time_secs': '63900000'}], [{'stop_id': 'stamsuhh_a', 'arrival_time': '23:40:00', 'arrival_time_secs': '85200000'}]]"
140,th,balt,"[{'name': 'Stamp Student Union - Slip', 'stop_id': 'stamsuhh_d'}, {'name': 'Baltimore St & Paca St', 'stop_id': 'baltpaca'}]","[[{'stop_id': 'stamsuhh_d', 'arrival_time': '15:00:00', 'arrival_time_secs': '54000000'}, {'stop_id': 'baltpaca', 'arrival_time': '16:30:00', 'arrival_time_secs': '59400000'}], [{'stop_id': 'stamsuhh_d', 'arrival_time': '21:10:00', 'arrival_time_secs': '76200000'}, {'stop_id': 'baltpaca', 'arrival_time': '22:25:00', 'arrival_time_secs': '80700000'}]]"
140,th,stamsu,"[{'name': 'Stamp Student Union - Slip (Arrival)', 'stop_id': 'stamsuhh_a'}]","[[{'stop_id': 'stamsuhh_a', 'arrival_time': '17:45:00', 'arrival_time_secs': '63900000'}], [{'stop_id': 'stamsuhh_a', 'arrival_time': '23:40:00', 'arrival_time_secs': '85200000'}]]"
140,mtw,stamsu,"[{'name': 'Stamp Student Union - Slip (Arrival)', 'stop_id': 'stamsuhh_a'}]","[[{'stop_id': 'stamsuhh_a', 'arrival_time': '17:45:00', 'arrival_time_secs': '63900000'}], [{'stop_id': 'stamsuhh_a', 'arrival_time': '23:40:00', 'arrival_time_secs': '85200000'}]]"
140,th,balt,"[{'name': 'Stamp Student Union - Slip', 'stop_id': 'stamsuhh_d'}, {'name': 'Baltimore St & Paca St', 'stop_id': 'baltpaca'}]","[[{'stop_id': 'stamsuhh_d', 'arrival_time': '15:00:00', 'arrival_time_secs': '54000000'}, {'stop_id': 'baltpaca', 'arrival_time': '16:30:00', 'arrival_time_secs': '59400000'}], [{'stop_id': 'stamsuhh_d', 'arrival_time': '21:10:00', 'arrival_time_secs': '76200000'}, {'stop_id': 'baltpaca', 'arrival_time': '22:25:00', 'arrival_time_secs': '80700000'}]]"
140,th,stamsu,"[{'name': 'Stamp Student Union - Slip (Arrival)', 'stop_id': 'stamsuhh_a'}]","[[{'stop_id': 'stamsuhh_a', 'arrival_time': '17:45:00', 'arrival_time_secs': '63900000'}], [{'stop_id': 'stamsuhh_a', 'arrival_time': '23:40:00', 'arrival_time_secs': '85200000'}]]"
140,mtw,balt,"[{'name': 'Stamp Student Union - Slip', 'stop_id': 'stamsuhh_d'}, {'name': 'Baltimore St & Paca St', 'stop_id': 'baltpaca'}]","[[{'stop_id': 'stamsuhh_d', 'arrival_time': '15:00:00', 'arrival_time_secs': '54000000'}, {'stop_id': 'baltpaca', 'arrival_time': '16:30:00', 'arrival_time_secs': '59400000'}], [{'stop_id': 'stamsuhh_d', 'arrival_time': '21:10:00', 'arrival_time_secs': '76200000'}, {'stop_id': 'baltpaca', 'arrival_time': '22:25:00', 'arrival_time_secs': '80700000'}]]"
