route,days,direction,stops,trips
124,mtw,stamsu,"[{'name': 'Stamp Student Union - Slip (Arrival)', 'stop_id': 'stamsu_a'}]","[[{'stop_id': 'stamsu_a', 'arrival_time': '08:45:00', 'arrival_time_secs': '31500000'}], [{'stop_id': 'stamsu_a', 'arrival_time': '09:45:00', 'arrival_time_secs': '35100000'}], [{'stop_id': 'stamsu_a', 'arrival_time': '11:30:00', 'arrival_time_secs': '41400000'}], [{'stop_id': 'stamsu_a', 'arrival_time': '13:10:00', 'arrival_time_secs': '47400000'}], [{'stop_id': 'stamsu_a', 'arrival_time': '16:00:00', 'arrival_time_secs': '57600000'}], [{'stop_id': 'stamsu_a', 'arrival_time': '18:50:00', 'arrival_time_secs': '67800000'}], [{'stop_id': 'stamsu_a', 'arrival_time': '22:00:00', 'arrival_time_secs': '79200000'}]]"
124,mtw,univshad,"[{'name': 'Stamp Student Union - Slip', 'stop_id': 'stamsu_d'}, {'name': 'The Universities at Shady Grove', 'stop_id': 'univshad'}]","[[{'stop_id': 'stamsu_d', 'arrival_time': '06:50:00', 'arrival_time_secs': '24600000'}, {'stop_id': 'univshad', 'arrival_time': '07:45:00', 'arrival_time_secs': '27900000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '07:45:00', 'arrival_time_secs': '27900000'}, {'stop_id': 'univshad', 'arrival_time': '08:45:00', 'arrival_time_secs': '31500000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '09:55:00', 'arrival_time_secs': '35700000'}, {'stop_id': 'univshad', 'arrival_time': '10:45:00', 'arrival_time_secs': '38700000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '11:35:00', 'arrival_time_secs': '41700000'}, {'stop_id': 'univshad', 'arrival_time': '12:25:00', 'arrival_time_secs': '44700000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '14:10:00', 'arrival_time_secs': '51000000'}, {'stop_id': 'univshad', 'arrival_time': '15:00:00', 'arrival_time_secs': '54000000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '16:45:00', 'arrival_time_secs': '60300000'}, {'stop_id': 'univshad', 'arrival_time': '17:45:00', 'arrival_time_secs': '63900000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '20:25:00', 'arrival_time_secs': '73500000'}, {'stop_id': 'univshad', 'arrival_time': '21:15:00', 'arrival_time_secs': '76500000'}]]"
124,special,stamsu,"[{'name': 'Stamp Student Union - Slip (Arrival)', 'stop_id': 'stamsu_a'}]","[[{'stop_id': 'stamsu_a', 'arrival_time': '08:45:00', 'arrival_time_secs': '31500000'}], [{'stop_id': 'stamsu_a', 'arrival_time': '11:00:00', 'arrival_time_secs': '39600000'}]]"
124,special,univshad,"[{'name': 'Stamp Student Union - Slip', 'stop_id': 'stamsu_d'}, {'name': 'The Universities at Shady Grove', 'stop_id': 'univshad'}]","[[{'stop_id': 'stamsu_d', 'arrival_time': '06:50:00', 'arrival_time_secs': '24600000'}, {'stop_id': 'univshad', 'arrival_time': '07:45:00', 'arrival_time_secs': '27900000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '09:25:00', 'arrival_time_secs': '33900000'}, {'stop_id': 'univshad', 'arrival_time': '10:15:00', 'arrival_time_secs': '36900000'}]]"
124,th,stamsu,"[{'name': 'Stamp Student Union - Slip (Arrival)', 'stop_id': 'stamsu_a'}]","[[{'stop_id': 'stamsu_a', 'arrival_time': '08:45:00', 'arrival_time_secs': '31500000'}], [{'stop_id': 'stamsu_a', 'arrival_time': '09:45:00', 'arrival_time_secs': '35100000'}], [{'stop_id': 'stamsu_a', 'arrival_time': '11:30:00', 'arrival_time_secs': '41400000'}], [{'stop_id': 'stamsu_a', 'arrival_time': '13:10:00', 'arrival_time_secs': '47400000'}], [{'stop_id': 'stamsu_a', 'arrival_time': '16:00:00', 'arrival_time_secs': '57600000'}], [{'stop_id': 'stamsu_a', 'arrival_time': '18:50:00', 'arrival_time_secs': '67800000'}], [{'stop_id': 'stamsu_a', 'arrival_time': '22:00:00', 'arrival_time_secs': '79200000'}]]"
124,th,univshad,"[{'name': 'Stamp Student Union - Slip', 'stop_id': 'stamsu_d'}, {'name': 'The Universities at Shady Grove', 'stop_id': 'univshad'}]","[[{'stop_id': 'stamsu_d', 'arrival_time': '06:50:00', 'arrival_time_secs': '24600000'}, {'stop_id': 'univshad', 'arrival_time': '07:45:00', 'arrival_time_secs': '27900000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '07:45:00', 'arrival_time_secs': '27900000'}, {'stop_id': 'univshad', 'arrival_time': '08:45:00', 'arrival_time_secs': '31500000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '09:55:00', 'arrival_time_secs': '35700000'}, {'stop_id': 'univshad', 'arrival_time': '10:45:00', 'arrival_time_secs': '38700000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '11:35:00', 'arrival_time_secs': '41700000'}, {'stop_id': 'univshad', 'arrival_time': '12:25:00', 'arrival_time_secs': '44700000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '14:10:00', 'arrival_time_secs': '51000000'}, {'stop_id': 'univshad', 'arrival_time': '15:00:00', 'arrival_time_secs': '54000000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '16:45:00', 'arrival_time_secs': '60300000'}, {'stop_id': 'univshad', 'arrival_time': '17:45:00', 'arrival_time_secs': '63900000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '20:25:00', 'arrival_time_secs': '73500000'}, {'stop_id': 'univshad', 'arrival_time': '21:15:00', 'arrival_time_secs': '76500000'}]]"
124,mtw,stamsu,"[{'name': 'Stamp Student Union - Slip (Arrival)', 'stop_id': 'stamsu_a'}]","[[{'stop_id': 'stamsu_a', 'arrival_time': '08:45:00', 'arrival_time_secs': '31500000'}], [{'stop_id': 'stamsu_a', 'arrival_time': '09:45:00', 'arrival_time_secs': '35100000'}], [{'stop_id': 'stamsu_a', 'arrival_time': '11:30:00', 'arrival_time_secs': '41400000'}], [{'stop_id': 'stamsu_a', 'arrival_time': '13:10:00', 'arrival_time_secs': '47400000'}], [{'stop_id': 'stamsu_a', 'arrival_time': '16:00:00', 'arrival_time_secs': '57600000'}], [{'stop_id': 'stamsu_a', 'arrival_time': '18:50:00', 'arrival_time_secs': '67800000'}], [{'stop_id': 'stamsu_a', 'arrival_time': '22:00:00', 'arrival_time_secs': '79200000'}]]"
124,mtw,univshad,"[{'name': 'Stamp Student Union - Slip', 'stop_id': 'stamsu_d'}, {'name': 'The Universities at Shady Grove', 'stop_id': 'univshad'}]","[[{'stop_id': 'stamsu_d', 'arrival_time': '06:50:00', 'arrival_time_secs': '24600000'}, {'stop_id': 'univshad', 'arrival_time': '07:45:00', 'arrival_time_secs': '27900000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '07:45:00', 'arrival_time_secs': '27900000'}, {'stop_id': 'univshad', 'arrival_time': '08:45:00', 'arrival_time_secs': '31500000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '09:55:00', 'arrival_time_secs': '35700000'}, {'stop_id': 'univshad', 'arrival_time': '10:45:00', 'arrival_time_secs': '38700000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '11:35:00', 'arrival_time_secs': '41700000'}, {'stop_id': 'univshad', 'arrival_time': '12:25:00', 'arrival_time_secs': '44700000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '14:10:00', 'arrival_time_secs': '51000000'}, {'stop_id': 'univshad', 'arrival_time': '15:00:00', 'arrival_time_secs': '54000000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '16:45:00', 'arrival_time_secs': '60300000'}, {'stop_id': 'univshad', 'arrival_time': '17:45:00', 'arrival_time_secs': '63900000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '20:25:00', 'arrival_time_secs': '73500000'}, {'stop_id': 'univshad', 'arrival_time': '21:15:00', 'arrival_time_secs': '76500000'}]]"
124,special,stamsu,"[{'name': 'Stamp Student Union - Slip (Arrival)', 'stop_id': 'stamsu_a'}]","[[{'stop_id': 'stamsu_a', 'arrival_time': '08:45:00', 'arrival_time_secs': '31500000'}], [{'stop_id': 'stamsu_a', 'arrival_time': '11:00:00', 'arrival_time_secs': '39600000'}]]"
124,special,univshad,"[{'name': 'Stamp Student Union - Slip', 'stop_id': 'stamsu_d'}, {'name': 'The Universities at Shady Grove', 'stop_id': 'univshad'}]","[[{'stop_id': 'stamsu_d', 'arrival_time': '06:50:00', 'arrival_time_secs': '24600000'}, {'stop_id': 'univshad', 'arrival_time': '07:45:00', 'arrival_time_secs': '27900000'}], [{'stop_id': 'stamsu_d', 'arrival_time': '09:25:00', 'arrival_time_secs': '33900000'}, {'stop_id': 'univshad', 'arrival_time': '10:15:00', 'arrival_time_secs': '36900000'}]]"
