route,days,direction,stops,trips
108,f,chateau,"[{'name': 'Regents Drive Garage', 'stop_id': 'regegara_d'}]","[[{'stop_id': 'regegara_d', 'arrival_time': '07:00:00', 'arrival_time_secs': '25200000'}], [{'stop_id': 'regegara_d', 'arrival_time': '07:50:00', 'arrival_time_secs': '28200000'}], [{'stop_id': 'regegara_d', 'arrival_time': '08:45:00', 'arrival_time_secs': '31500000'}], [{'stop_id': 'regegara_d', 'arrival_time': '09:40:00', 'arrival_time_secs': '34800000'}], [{'stop_id': 'regegara_d', 'arrival_time': '10:35:00', 'arrival_time_secs': '38100000'}], [{'stop_id': 'regegara_d', 'arrival_time': '11:25:00', 'arrival_time_secs': '41100000'}], [{'stop_id': 'regegara_d', 'arrival_time': '12:15:00', 'arrival_time_secs': '44100000'}], [{'stop_id': 'regegara_d', 'arrival_time': '13:10:00', 'arrival_time_secs': '47400000'}], [{'stop_id': 'regegara_d', 'arrival_time': '14:05:00', 'arrival_time_secs': '50700000'}], [{'stop_id': 'regegara_d', 'arrival_time': '15:00:00', 'arrival_time_secs': '54000000'}], [{'stop_id': 'regegara_d', 'arrival_time': '16:05:00', 'arrival_time_secs': '57900000'}], [{'stop_id': 'regegara_d', 'arrival_time': '17:10:00', 'arrival_time_secs': '61800000'}], [{'stop_id': 'regegara_d', 'arrival_time': '18:25:00', 'arrival_time_secs': '66300000'}], [{'stop_id': 'regegara_d', 'arrival_time': '19:35:00', 'arrival_time_secs': '70500000'}], [{'stop_id': 'regegara_d', 'arrival_time': '20:35:00', 'arrival_time_secs': '74100000'}]]"
108,f,regegara,"[{'name': 'Mt Pisgah Rd at Chateau Apartments', 'stop_id': 'chateau_r'}, {'name': 'Regents Drive Garage (Arrival)', 'stop_id': 'regegara_a'}]","[[{'stop_id': 'chateau_r', 'arrival_time': '07:23:00', 'arrival_time_secs': '26580000'}, {'stop_id': 'regegara_a', 'arrival_time': '07:45:00', 'arrival_time_secs': '27900000'}], [{'stop_id': 'chateau_r', 'arrival_time': '08:18:00', 'arrival_time_secs': '29880000'}, {'stop_id': 'regegara_a', 'arrival_time': '08:40:00', 'arrival_time_secs': '31200000'}], [{'stop_id': 'chateau_r', 'arrival_time': '09:13:00', 'arrival_time_secs': '33180000'}, {'stop_id': 'regegara_a', 'arrival_time': '09:35:00', 'arrival_time_secs': '34500000'}], [{'stop_id': 'chateau_r', 'arrival_time': '10:08:00', 'arrival_time_secs': '36480000'}, {'stop_id': 'regegara_a', 'arrival_time': '10:30:00', 'arrival_time_secs': '37800000'}], [{'stop_id': 'chateau_r', 'arrival_time': '11:00:00', 'arrival_time_secs': '39600000'}, {'stop_id': 'regegara_a', 'arrival_time': '11:20:00', 'arrival_time_secs': '40800000'}], [{'stop_id': 'chateau_r', 'arrival_time': '11:50:00', 'arrival_time_secs': '42600000'}, {'stop_id': 'regegara_a', 'arrival_time': '12:10:00', 'arrival_time_secs': '43800000'}], [{'stop_id': 'chateau_r', 'arrival_time': '12:42:00', 'arrival_time_secs': '45720000'}, {'stop_id': 'regegara_a', 'arrival_time': '13:05:00', 'arrival_time_secs': '47100000'}], [{'stop_id': 'chateau_r', 'arrival_time': '13:38:00', 'arrival_time_secs': '49080000'}, {'stop_id': 'regegara_a', 'arrival_time': '14:00:00', 'arrival_time_secs': '50400000'}], [{'stop_id': 'chateau_r', 'arrival_time': '14:33:00', 'arrival_time_secs': '52380000'}, {'stop_id': 'regegara_a', 'arrival_time': '14:55:00', 'arrival_time_secs': '53700000'}], [{'stop_id': 'chateau_r', 'arrival_time': '15:32:00', 'arrival_time_secs': '55920000'}, {'stop_id': 'regegara_a', 'arrival_time': '16:00:00', 'arrival_time_secs': '57600000'}], [{'stop_id': 'chateau_r', 'arrival_time': '16:38:00', 'arrival_time_secs': '59880000'}, {'stop_id': 'regegara_a', 'arrival_time': '17:05:00', 'arrival_time_secs': '61500000'}], [{'stop_id': 'chateau_r', 'arrival_time': '17:50:00', 'arrival_time_secs': '64200000'}, {'stop_id': 'regegara_a', 'arrival_time': '18:20:00', 'arrival_time_secs': '66000000'}], [{'stop_id': 'chateau_r', 'arrival_time': '19:01:00', 'arrival_time_secs': '68460000'}, {'stop_id': 'regegara_a', 'arrival_time': '19:30:00', 'arrival_time_secs': '70200000'}], [{'stop_id': 'chateau_r', 'arrival_time': '20:08:00', 'arrival_time_secs': '72480000'}, {'stop_id': 'regegara_a', 'arrival_time': '20:30:00', 'arrival_time_secs': '73800000'}], [{'stop_id': 'chateau_r', 'arrival_time': '21:00:00', 'arrival_time_secs': '75600000'}, {'stop_id': 'regegara_a', 'arrival_time': '21:20:00', 'arrival_time_secs': '76800000'}]]"
108,mtw,chateau,"[{'name': 'Regents Drive Garage', 'stop_id': 'regegara_d'}]","[[{'stop_id': 'regegara_d', 'arrival_time': '07:00:00', 'arrival_time_secs': '25200000'}], [{'stop_id': 'regegara_d', 'arrival_time': '07:50:00', 'arrival_time_secs': '28200000'}], [{'stop_id': 'regegara_d', 'arrival_time': '08:45:00', 'arrival_time_secs': '31500000'}], [{'stop_id': 'regegara_d', 'arrival_time': '09:40:00', 'arrival_time_secs': '34800000'}], [{'stop_id': 'regegara_d', 'arrival_time': '10:35:00', 'arrival_time_secs': '38100000'}], [{'stop_id': 'regegara_d', 'arrival_time': '11:25:00', 'arrival_time_secs': '41100000'}], [{'stop_id': 'regegara_d', 'arrival_time': '12:15:00', 'arrival_time_secs': '44100000'}], [{'stop_id': 'regegara_d', 'arrival_time': '13:10:00', 'arrival_time_secs': '47400000'}], [{'stop_id': 'regegara_d', 'arrival_time': '14:05:00', 'arrival_time_secs': '50700000'}], [{'stop_id': 'regegara_d', 'arrival_time': '15:00:00', 'arrival_time_secs': '54000000'}], [{'stop_id': 'regegara_d', 'arrival_time': '16:05:00', 'arrival_time_secs': '57900000'}], [{'stop_id': 'regegara_d', 'arrival_time': '17:10:00', 'arrival_time_secs': '61800000'}], [{'stop_id': 'regegara_d', 'arrival_time': '18:25:00', 'arrival_time_secs': '66300000'}], [{'stop_id': 'regegara_d', 'arrival_time': '19:35:00', 'arrival_time_secs': '70500000'}], [{'stop_id': 'regegara_d', 'arrival_time': '20:35:00', 'arrival_time_secs': '74100000'}], [{'stop_id': 'regegara_d', 'arrival_time': '21:25:00', 'arrival_time_secs': '77100000'}], [{'stop_id': 'regegara_d', 'arrival_time': '22:15:00', 'arrival_time_secs': '80100000'}]]"
108,mtw,regegara,"[{'name': 'Mt Pisgah Rd at Chateau Apartments', 'stop_id': 'chateau_r'}, {'name': 'Regents Drive Garage (Arrival)', 'stop_id': 'regegara_a'}]","[[{'stop_id': 'chateau_r', 'arrival_time': '07:23:00', 'arrival_time_secs': '26580000'}, {'stop_id': 'regegara_a', 'arrival_time': '07:45:00', 'arrival_time_secs': '27900000'}], [{'stop_id': 'chateau_r', 'arrival_time': '08:18:00', 'arrival_time_secs': '29880000'}, {'stop_id': 'regegara_a', 'arrival_time': '08:40:00', 'arrival_time_secs': '31200000'}], [{'stop_id': 'chateau_r', 'arrival_time': '09:13:00', 'arrival_time_secs': '33180000'}, {'stop_id': 'regegara_a', 'arrival_time': '09:35:00', 'arrival_time_secs': '34500000'}], [{'stop_id': 'chateau_r', 'arrival_time': '10:08:00', 'arrival_time_secs': '36480000'}, {'stop_id': 'regegara_a', 'arrival_time': '10:30:00', 'arrival_time_secs': '37800000'}], [{'stop_id': 'chateau_r', 'arrival_time': '11:00:00', 'arrival_time_secs': '39600000'}, {'stop_id': 'regegara_a', 'arrival_time': '11:20:00', 'arrival_time_secs': '40800000'}], [{'stop_id': 'chateau_r', 'arrival_time': '11:50:00', 'arrival_time_secs': '42600000'}, {'stop_id': 'regegara_a', 'arrival_time': '12:10:00', 'arrival_time_secs': '43800000'}], [{'stop_id': 'chateau_r', 'arrival_time': '12:42:00', 'arrival_time_secs': '45720000'}, {'stop_id': 'regegara_a', 'arrival_time': '13:05:00', 'arrival_time_secs': '47100000'}], [{'stop_id': 'chateau_r', 'arrival_time': '13:38:00', 'arrival_time_secs': '49080000'}, {'stop_id': 'regegara_a', 'arrival_time': '14:00:00', 'arrival_time_secs': '50400000'}], [{'stop_id': 'chateau_r', 'arrival_time': '14:33:00', 'arrival_time_secs': '52380000'}, {'stop_id': 'regegara_a', 'arrival_time': '14:55:00', 'arrival_time_secs': '53700000'}], [{'stop_id': 'chateau_r', 'arrival_time': '15:32:00', 'arrival_time_secs': '55920000'}, {'stop_id': 'regegara_a', 'arrival_time': '16:00:00', 'arrival_time_secs': '57600000'}], [{'stop_id': 'chateau_r', 'arrival_time': '16:38:00', 'arrival_time_secs': '59880000'}, {'stop_id': 'regegara_a', 'arrival_time': '17:05:00', 'arrival_time_secs': '61500000'}], [{'stop_id': 'chateau_r', 'arrival_time': '17:50:00', 'arrival_time_secs': '64200000'}, {'stop_id': 'regegara_a', 'arrival_time': '18:20:00', 'arrival_time_secs': '66000000'}], [{'stop_id': 'chateau_r', 'arrival_time': '19:01:00', 'arrival_time_secs': '68460000'}, {'stop_id': 'regegara_a', 'arrival_time': '19:30:00', 'arrival_time_secs': '70200000'}], [{'stop_id': 'chateau_r', 'arrival_time': '20:08:00', 'arrival_time_secs': '72480000'}, {'stop_id': 'regegara_a', 'arrival_time': '20:30:00', 'arrival_time_secs': '73800000'}], [{'stop_id': 'chateau_r', 'arrival_time': '21:00:00', 'arrival_time_secs': '75600000'}, {'stop_id': 'regegara_a', 'arrival_time': '21:20:00', 'arrival_time_secs': '76800000'}], [{'stop_id': 'chateau_r', 'arrival_time': '21:50:00', 'arrival_time_secs': '78600000'}, {'stop_id': 'regegara_a', 'arrival_time': '22:10:00', 'arrival_time_secs': '79800000'}], [{'stop_id': 'chateau_r', 'arrival_time': '22:38:00', 'arrival_time_secs': '81480000'}, {'stop_id': 'regegara_a', 'arrival_time': '22:55:00', 'arrival_time_secs': '82500000'}]]"
108,th,chateau,"[{'name': 'Regents Drive Garage', 'stop_id': 'regegara_d'}]","[[{'stop_id': 'regegara_d', 'arrival_time': '07:00:00', 'arrival_time_secs': '25200000'}], [{'stop_id': 'regegara_d', 'arrival_time': '07:50:00', 'arrival_time_secs': '28200000'}], [{'stop_id': 'regegara_d', 'arrival_time': '08:45:00', 'arrival_time_secs': '31500000'}], [{'stop_id': 'regegara_d', 'arrival_time': '09:40:00', 'arrival_time_secs': '34800000'}], [{'stop_id': 'regegara_d', 'arrival_time': '10:35:00', 'arrival_time_secs': '38100000'}], [{'stop_id': 'regegara_d', 'arrival_time': '11:25:00', 'arrival_time_secs': '41100000'}], [{'stop_id': 'regegara_d', 'arrival_time': '12:15:00', 'arrival_time_secs': '44100000'}], [{'stop_id': 'regegara_d', 'arrival_time': '13:10:00', 'arrival_time_secs': '47400000'}], [{'stop_id': 'regegara_d', 'arrival_time': '14:05:00', 'arrival_time_secs': '50700000'}], [{'stop_id': 'regegara_d', 'arrival_time': '15:00:00', 'arrival_time_secs': '54000000'}], [{'stop_id': 'regegara_d', 'arrival_time': '16:05:00', 'arrival_time_secs': '57900000'}], [{'stop_id': 'regegara_d', 'arrival_time': '17:10:00', 'arrival_time_secs': '61800000'}], [{'stop_id': 'regegara_d', 'arrival_time': '18:25:00', 'arrival_time_secs': '66300000'}], [{'stop_id': 'regegara_d', 'arrival_time': '19:35:00', 'arrival_time_secs': '70500000'}], [{'stop_id': 'regegara_d', 'arrival_time': '20:35:00', 'arrival_time_secs': '74100000'}], [{'stop_id': 'regegara_d', 'arrival_time': '21:25:00', 'arrival_time_secs': '77100000'}], [{'stop_id': 'regegara_d', 'arrival_time': '22:15:00', 'arrival_time_secs': '80100000'}]]"
108,th,regegara,"[{'name': 'Mt Pisgah Rd at Chateau Apartments', 'stop_id': 'chateau_r'}, {'name': 'Regents Drive Garage (Arrival)', 'stop_id': 'regegara_a'}]","[[{'stop_id': 'chateau_r', 'arrival_time': '07:23:00', 'arrival_time_secs': '26580000'}, {'stop_id': 'regegara_a', 'arrival_time': '07:45:00', 'arrival_time_secs': '27900000'}], [{'stop_id': 'chateau_r', 'arrival_time': '08:18:00', 'arrival_time_secs': '29880000'}, {'stop_id': 'regegara_a', 'arrival_time': '08:40:00', 'arrival_time_secs': '31200000'}], [{'stop_id': 'chateau_r', 'arrival_time': '09:13:00', 'arrival_time_secs': '33180000'}, {'stop_id': 'regegara_a', 'arrival_time': '09:35:00', 'arrival_time_secs': '34500000'}], [{'stop_id': 'chateau_r', 'arrival_time': '10:08:00', 'arrival_time_secs': '36480000'}, {'stop_id': 'regegara_a', 'arrival_time': '10:30:00', 'arrival_time_secs': '37800000'}], [{'stop_id': 'chateau_r', 'arrival_time': '11:00:00', 'arrival_time_secs': '39600000'}, {'stop_id': 'regegara_a', 'arrival_time': '11:20:00', 'arrival_time_secs': '40800000'}], [{'stop_id': 'chateau_r', 'arrival_time': '11:50:00', 'arrival_time_secs': '42600000'}, {'stop_id': 'regegara_a', 'arrival_time': '12:10:00', 'arrival_time_secs': '43800000'}], [{'stop_id': 'chateau_r', 'arrival_time': '12:42:00', 'arrival_time_secs': '45720000'}, {'stop_id': 'regegara_a', 'arrival_time': '13:05:00', 'arrival_time_secs': '47100000'}], [{'stop_id': 'chateau_r', 'arrival_time': '13:38:00', 'arrival_time_secs': '49080000'}, {'stop_id': 'regegara_a', 'arrival_time': '14:00:00', 'arrival_time_secs': '50400000'}], [{'stop_id': 'chateau_r', 'arrival_time': '14:33:00', 'arrival_time_secs': '52380000'}, {'stop_id': 'regegara_a', 'arrival_time': '14:55:00', 'arrival_time_secs': '53700000'}], [{'stop_id': 'chateau_r', 'arrival_time': '15:32:00', 'arrival_time_secs': '55920000'}, {'stop_id': 'regegara_a', 'arrival_time': '16:00:00', 'arrival_time_secs': '57600000'}], [{'stop_id': 'chateau_r', 'arrival_time': '16:38:00', 'arrival_time_secs': '59880000'}, {'stop_id': 'regegara_a', 'arrival_time': '17:05:00', 'arrival_time_secs': '61500000'}], [{'stop_id': 'chateau_r', 'arrival_time': '17:50:00', 'arrival_time_secs': '64200000'}, {'stop_id': 'regegara_a', 'arrival_time': '18:20:00', 'arrival_time_secs': '66000000'}], [{'stop_id': 'chateau_r', 'arrival_time': '19:01:00', 'arrival_time_secs': '68460000'}, {'stop_id': 'regegara_a', 'arrival_time': '19:30:00', 'arrival_time_secs': '70200000'}], [{'stop_id': 'chateau_r', 'arrival_time': '20:08:00', 'arrival_time_secs': '72480000'}, {'stop_id': 'regegara_a', 'arrival_time': '20:30:00', 'arrival_time_secs': '73800000'}], [{'stop_id': 'chateau_r', 'arrival_time': '21:00:00', 'arrival_time_secs': '75600000'}, {'stop_id': 'regegara_a', 'arrival_time': '21:20:00', 'arrival_time_secs': '76800000'}], [{'stop_id': 'chateau_r', 'arrival_time': '21:50:00', 'arrival_time_secs': '78600000'}, {'stop_id': 'regegara_a', 'arrival_time': '22:10:00', 'arrival_time_secs': '79800000'}], [{'stop_id': 'chateau_r', 'arrival_time': '22:38:00', 'arrival_time_secs': '81480000'}, {'stop_id': 'regegara_a', 'arrival_time': '22:55:00', 'arrival_time_secs': '82500000'}]]"
108,f,chateau,"[{'name': 'Regents Drive Garage', 'stop_id': 'regegara_d'}]","[[{'stop_id': 'regegara_d', 'arrival_time': '07:00:00', 'arrival_time_secs': '25200000'}], [{'stop_id': 'regegara_d', 'arrival_time': '07:50:00', 'arrival_time_secs': '28200000'}], [{'stop_id': 'regegara_d', 'arrival_time': '08:45:00', 'arrival_time_secs': '31500000'}], [{'stop_id': 'regegara_d', 'arrival_time': '09:40:00', 'arrival_time_secs': '34800000'}], [{'stop_id': 'regegara_d', 'arrival_time': '10:35:00', 'arrival_time_secs': '38100000'}], [{'stop_id': 'regegara_d', 'arrival_time': '11:25:00', 'arrival_time_secs': '41100000'}], [{'stop_id': 'regegara_d', 'arrival_time': '12:15:00', 'arrival_time_secs': '44100000'}], [{'stop_id': 'regegara_d', 'arrival_time': '13:10:00', 'arrival_time_secs': '47400000'}], [{'stop_id': 'regegara_d', 'arrival_time': '14:05:00', 'arrival_time_secs': '50700000'}], [{'stop_id': 'regegara_d', 'arrival_time': '15:00:00', 'arrival_time_secs': '54000000'}], [{'stop_id': 'regegara_d', 'arrival_time': '16:05:00', 'arrival_time_secs': '57900000'}], [{'stop_id': 'regegara_d', 'arrival_time': '17:10:00', 'arrival_time_secs': '61800000'}], [{'stop_id': 'regegara_d', 'arrival_time': '18:25:00', 'arrival_time_secs': '66300000'}], [{'stop_id': 'regegara_d', 'arrival_time': '19:35:00', 'arrival_time_secs': '70500000'}], [{'stop_id': 'regegara_d', 'arrival_time': '20:35:00', 'arrival_time_secs': '74100000'}]]"
108,f,regegara,"[{'name': 'Mt Pisgah Rd at Chateau Apartments', 'stop_id': 'chateau_r'}, {'name': 'Regents Drive Garage (Arrival)', 'stop_id': 'regegara_a'}]","[[{'stop_id': 'chateau_r', 'arrival_time': '07:23:00', 'arrival_time_secs': '26580000'}, {'stop_id': 'regegara_a', 'arrival_time': '07:45:00', 'arrival_time_secs': '27900000'}], [{'stop_id': 'chateau_r', 'arrival_time': '08:18:00', 'arrival_time_secs': '29880000'}, {'stop_id': 'regegara_a', 'arrival_time': '08:40:00', 'arrival_time_secs': '31200000'}], [{'stop_id': 'chateau_r', 'arrival_time': '09:13:00', 'arrival_time_secs': '33180000'}, {'stop_id': 'regegara_a', 'arrival_time': '09:35:00', 'arrival_time_secs': '34500000'}], [{'stop_id': 'chateau_r', 'arrival_time': '10:08:00', 'arrival_time_secs': '36480000'}, {'stop_id': 'regegara_a', 'arrival_time': '10:30:00', 'arrival_time_secs': '37800000'}], [{'stop_id': 'chateau_r', 'arrival_time': '11:00:00', 'arrival_time_secs': '39600000'}, {'stop_id': 'regegara_a', 'arrival_time': '11:20:00', 'arrival_time_secs': '40800000'}], [{'stop_id': 'chateau_r', 'arrival_time': '11:50:00', 'arrival_time_secs': '42600000'}, {'stop_id': 'regegara_a', 'arrival_time': '12:10:00', 'arrival_time_secs': '43800000'}], [{'stop_id': 'chateau_r', 'arrival_time': '12:42:00', 'arrival_time_secs': '45720000'}, {'stop_id': 'regegara_a', 'arrival_time': '13:05:00', 'arrival_time_secs': '47100000'}], [{'stop_id': 'chateau_r', 'arrival_time': '13:38:00', 'arrival_time_secs': '49080000'}, {'stop_id': 'regegara_a', 'arrival_time': '14:00:00', 'arrival_time_secs': '50400000'}], [{'stop_id': 'chateau_r', 'arrival_time': '14:33:00', 'arrival_time_secs': '52380000'}, {'stop_id': 'regegara_a', 'arrival_time': '14:55:00', 'arrival_time_secs': '53700000'}], [{'stop_id': 'chateau_r', 'arrival_time': '15:32:00', 'arrival_time_secs': '55920000'}, {'stop_id': 'regegara_a', 'arrival_time': '16:00:00', 'arrival_time_secs': '57600000'}], [{'stop_id': 'chateau_r', 'arrival_time': '16:38:00', 'arrival_time_secs': '59880000'}, {'stop_id': 'regegara_a', 'arrival_time': '17:05:00', 'arrival_time_secs': '61500000'}], [{'stop_id': 'chateau_r', 'arrival_time': '17:50:00', 'arrival_time_secs': '64200000'}, {'stop_id': 'regegara_a', 'arrival_time': '18:20:00', 'arrival_time_secs': '66000000'}], [{'stop_id': 'chateau_r', 'arrival_time': '19:01:00', 'arrival_time_secs': '68460000'}, {'stop_id': 'regegara_a', 'arrival_time': '19:30:00', 'arrival_time_secs': '70200000'}], [{'stop_id': 'chateau_r', 'arrival_time': '20:08:00', 'arrival_time_secs': '72480000'}, {'stop_id': 'regegara_a', 'arrival_time': '20:30:00', 'arrival_time_secs': '73800000'}], [{'stop_id': 'chateau_r', 'arrival_time': '21:00:00', 'arrival_time_secs': '75600000'}, {'stop_id': 'regegara_a', 'arrival_time': '21:20:00', 'arrival_time_secs': '76800000'}]]"
108,mtw,chateau,"[{'name': 'Regents Drive Garage', 'stop_id': 'regegara_d'}]","[[{'stop_id': 'regegara_d', 'arrival_time': '07:00:00', 'arrival_time_secs': '25200000'}], [{'stop_id': 'regegara_d', 'arrival_time': '07:50:00', 'arrival_time_secs': '28200000'}], [{'stop_id': 'regegara_d', 'arrival_time': '08:45:00', 'arrival_time_secs': '31500000'}], [{'stop_id': 'regegara_d', 'arrival_time': '09:40:00', 'arrival_time_secs': '34800000'}], [{'stop_id': 'regegara_d', 'arrival_time': '10:35:00', 'arrival_time_secs': '38100000'}], [{'stop_id': 'regegara_d', 'arrival_time': '11:25:00', 'arrival_time_secs': '41100000'}], [{'stop_id': 'regegara_d', 'arrival_time': '12:15:00', 'arrival_time_secs': '44100000'}], [{'stop_id': 'regegara_d', 'arrival_time': '13:10:00', 'arrival_time_secs': '47400000'}], [{'stop_id': 'regegara_d', 'arrival_time': '14:05:00', 'arrival_time_secs': '50700000'}], [{'stop_id': 'regegara_d', 'arrival_time': '15:00:00', 'arrival_time_secs': '54000000'}], [{'stop_id': 'regegara_d', 'arrival_time': '16:05:00', 'arrival_time_secs': '57900000'}], [{'stop_id': 'regegara_d', 'arrival_time': '17:10:00', 'arrival_time_secs': '61800000'}], [{'stop_id': 'regegara_d', 'arrival_time': '18:25:00', 'arrival_time_secs': '66300000'}], [{'stop_id': 'regegara_d', 'arrival_time': '19:35:00', 'arrival_time_secs': '70500000'}], [{'stop_id': 'regegara_d', 'arrival_time': '20:35:00', 'arrival_time_secs': '74100000'}], [{'stop_id': 'regegara_d', 'arrival_time': '21:25:00', 'arrival_time_secs': '77100000'}], [{'stop_id': 'regegara_d', 'arrival_time': '22:15:00', 'arrival_time_secs': '80100000'}]]"
108,mtw,regegara,"[{'name': 'Mt Pisgah Rd at Chateau Apartments', 'stop_id': 'chateau_r'}, {'name': 'Regents Drive Garage (Arrival)', 'stop_id': 'regegara_a'}]","[[{'stop_id': 'chateau_r', 'arrival_time': '07:23:00', 'arrival_time_secs': '26580000'}, {'stop_id': 'regegara_a', 'arrival_time': '07:45:00', 'arrival_time_secs': '27900000'}], [{'stop_id': 'chateau_r', 'arrival_time': '08:18:00', 'arrival_time_secs': '29880000'}, {'stop_id': 'regegara_a', 'arrival_time': '08:40:00', 'arrival_time_secs': '31200000'}], [{'stop_id': 'chateau_r', 'arrival_time': '09:13:00', 'arrival_time_secs': '33180000'}, {'stop_id': 'regegara_a', 'arrival_time': '09:35:00', 'arrival_time_secs': '34500000'}], [{'stop_id': 'chateau_r', 'arrival_time': '10:08:00', 'arrival_time_secs': '36480000'}, {'stop_id': 'regegara_a', 'arrival_time': '10:30:00', 'arrival_time_secs': '37800000'}], [{'stop_id': 'chateau_r', 'arrival_time': '11:00:00', 'arrival_time_secs': '39600000'}, {'stop_id': 'regegara_a', 'arrival_time': '11:20:00', 'arrival_time_secs': '40800000'}], [{'stop_id': 'chateau_r', 'arrival_time': '11:50:00', 'arrival_time_secs': '42600000'}, {'stop_id': 'regegara_a', 'arrival_time': '12:10:00', 'arrival_time_secs': '43800000'}], [{'stop_id': 'chateau_r', 'arrival_time': '12:42:00', 'arrival_time_secs': '45720000'}, {'stop_id': 'regegara_a', 'arrival_time': '13:05:00', 'arrival_time_secs': '47100000'}], [{'stop_id': 'chateau_r', 'arrival_time': '13:38:00', 'arrival_time_secs': '49080000'}, {'stop_id': 'regegara_a', 'arrival_time': '14:00:00', 'arrival_time_secs': '50400000'}], [{'stop_id': 'chateau_r', 'arrival_time': '14:33:00', 'arrival_time_secs': '52380000'}, {'stop_id': 'regegara_a', 'arrival_time': '14:55:00', 'arrival_time_secs': '53700000'}], [{'stop_id': 'chateau_r', 'arrival_time': '15:32:00', 'arrival_time_secs': '55920000'}, {'stop_id': 'regegara_a', 'arrival_time': '16:00:00', 'arrival_time_secs': '57600000'}], [{'stop_id': 'chateau_r', 'arrival_time': '16:38:00', 'arrival_time_secs': '59880000'}, {'stop_id': 'regegara_a', 'arrival_time': '17:05:00', 'arrival_time_secs': '61500000'}], [{'stop_id': 'chateau_r', 'arrival_time': '17:50:00', 'arrival_time_secs': '64200000'}, {'stop_id': 'regegara_a', 'arrival_time': '18:20:00', 'arrival_time_secs': '66000000'}], [{'stop_id': 'chateau_r', 'arrival_time': '19:01:00', 'arrival_time_secs': '68460000'}, {'stop_id': 'regegara_a', 'arrival_time': '19:30:00', 'arrival_time_secs': '70200000'}], [{'stop_id': 'chateau_r', 'arrival_time': '20:08:00', 'arrival_time_secs': '72480000'}, {'stop_id': 'regegara_a', 'arrival_time': '20:30:00', 'arrival_time_secs': '73800000'}], [{'stop_id': 'chateau_r', 'arrival_time': '21:00:00', 'arrival_time_secs': '75600000'}, {'stop_id': 'regegara_a', 'arrival_time': '21:20:00', 'arrival_time_secs': '76800000'}], [{'stop_id': 'chateau_r', 'arrival_time': '21:50:00', 'arrival_time_secs': '78600000'}, {'stop_id': 'regegara_a', 'arrival_time': '22:10:00', 'arrival_time_secs': '79800000'}], [{'stop_id': 'chateau_r', 'arrival_time': '22:38:00', 'arrival_time_secs': '81480000'}, {'stop_id': 'regegara_a', 'arrival_time': '22:55:00', 'arrival_time_secs': '82500000'}]]"
