stop_id,title,lat,long
waynwhol,Wayne Ave and Fenton St (Outbound),38.9959666,-77.0235453
ssmetro,Silver Spring Metro Station,38.993673,-77.029742
waynfent,Wayne Ave and Fenton St (Inbound),38.9952298,-77.0245902
wayndale_in,Wayne Ave and Dale Dr (Inbound),38.9992414,-77.0177496
waynslig_in,Wayne Ave and Manchester Place (Inbound),39.0016406,-77.0077193
flowplym_in,Flower Ave and Plymouth St (Inbound),39.001575,-77.0046644
flowdome_in,Flower Ave and Domer Ave (Inbound),38.9962614,-77.0031528
flowhuds_in,Flower Ave and Hudson (Inbound),38.9925543,-77.00228
flowkenn_in,Flower Ave and Kennebec (Inbound),38.9897144,-77.0015479
flowdivi_inn,Flower Ave at Washington Adventist University (Inbound),38.9870475,-77.0001883
flowcarr_in,Flower Ave and Carroll Ave (Inbound),38.9852146,-76.9989177
carrgarl_in,Carroll Ave and Garland Ave (Inbound),38.9862373,-76.9961839
carranne_in,Carroll Ave and Anne St,38.9876429,-76.994607
carrwild_in,Carroll Ave and Wildwood Dr,38.9897314,-76.9935114
merriuniv,Merrimac Dr and University Blvd,38.9924899,-76.99173
univhamp,Takoma-Langley Crossroads Transit Center (Inbound),38.990052,-76.988171
univ15th,University Blvd and 15th Ave,38.9852516,-76.9818874
univhech,University Blvd and Riggs Road (Inbound),38.9834699,-76.9776816
univ25th_in,University Blvd and 25th Ave,38.9844296,-76.9674135
univgrad,University Blvd at Graduate Hills,38.9853553,-76.9578695
cspa_main,Stadium Drive and University Boulevard,38.991756,-76.950237
stadgara,Stadium Drive Garage,38.9917469,-76.9475442
stadvtho,Varsity Team House,38.9906015,-76.9454061
gradhill,Adelphi Rd at Graduate Hills Apts,38.9846606,-76.9555421
adelwell_out,Adelphi Rd and Wells Blvd,38.9795417,-76.9545905
adel_nwhs,Adelphi Rd at Northwestern HS,38.9754953,-76.952102
toleadel,Toledo Rd and Adelphi Rd,38.97007,-76.9497998
tolebelc,Toledo and Belcrest Rd (Outbound),38.96991,-76.9532842
targ,The Mall at Prince George's,38.96821,-76.95417
pgmetro_out,Prince George's Plaza Metro Station (Outbound),38.9658812,-76.954134
39thquee,Queensbury Rd and 39th Pl,38.96391,-76.9503707
42ndquee,42nd Ave and Queensbury Rd,38.9635641,-76.9462603
42ndogle,42nd Ave and Oglethorpe St,38.9596743,-76.9465446
42ndmadi,42nd Ave and Madison St,38.9580062,-76.9467596
42ndjeff,42nd Ave and Jefferson St,38.9553894,-76.9457762
42ndfarr,Farragut St and 42nd Pl,38.9517499,-76.944358
farrrhod,Farragut St and Rhode Island Ave,38.95166,-76.94123
baltgall,Baltimore Ave and Gallatin St,38.9530736,-76.9404606
balthami,Baltimore Ave and Hamilton St,38.9542751,-76.9403194
baltlong,Baltimore Ave and Longfellow St,38.9567242,-76.9400419
baltogle,Baltimore Ave and Oglethorpe St,38.9593855,-76.9397604
44thquee,Queensbury Rd and 44th Pl,38.9632582,-76.9404546
quee42nd,Queensbury Rd and 42nd Pl,38.9637691,-76.9450616
belcquch,Belcrest Rd and Queens Chapel Rd,38.9643701,-76.9527003
pgmetro_in,Prince George's Plaza Metro Station (Inbound),38.9654413,-76.9537801
pgcc,Prince George's Community College,38.9681505,-76.95394
belctole,Toledo Rd and Belcrest Rd (Inbound),38.9698444,-76.9532048
adeltole,Adelphi Rd and Toledo Rd,38.9706254,-76.9490295
adelvbur,Adelphi Rd and Van Buren St,38.975281,-76.9517565
adelwell_in,Adelphi Rd and Wells Pkwy (Inbound),38.9792306,-76.9543073
adeltula,Adelphi Rd and Campus Dr,38.9846321,-76.9553383
collpksh,College Park Shopping Ctr (Outbound),38.9809619,-76.9390277
baltritc,Ritchie Coliseum,38.9852774,-76.9370967
univview,University View,38.99234,-76.9338999
baltvars,Baltimore Ave at The Varsity,38.9908313,-76.9340075
mcirc,Campus Dr at M Circle,38.987699,-76.9395199
lot1,Union Dr at Lot 1b,38.9872099,-76.9481576
cspac,Valley Drive at Stadium Drive Garage,38.9902373,-76.9494
elk,Elkton Hall,38.9924177,-76.9485888
hage,Hagerstown Hall,38.99297,-76.947599
laplat,La Plata Hall,38.9922186,-76.94563
varhous,Varsity Team House,38.9906039,-76.9454355
stadatl,Stadium Drive at Atlantic Building,38.9905589,-76.9421162
mitc_out,Mitchell Building (Outbound),38.9866498,-76.9401999
memo_out,Memorial Chapel (Outbound),38.9848206,-76.94015
mont_out,Montgomery Hall (Outbound),38.9824312,-76.9391529
baltritc_s,Ritchie Coliseum,38.9852774,-76.9370967
mcirc_s,Campus Dr at M Circle,38.9877034,-76.9394934
hoff,Hoff Theater,38.9880692,-76.94539
uniofiel,Union Ln and Fieldhouse Dr,38.9886932,-76.9453067
biofield,BioSciences Research Building,38.9892576,-76.9421089
cour300,Courtyards #300,39.0013104,-76.9419255
cour400,Courtyards #400,39.001867,-76.94271
gree,Greenmeade Dr at Maryland 4-H (Inbound),39.0026811,-76.9433266
lot4i_r,Paint Branch Dr at Lot 4b (Inbound),38.9978287,-76.9404883
univclub,University Club Apartments,38.9906518,-76.9298057
varsity,Baltimore Ave at The Varsity,38.9908309,-76.9340079
dent,Denton Hall,38.9919122,-76.9500274
